loan_id,rejection_reason
60,Invalid residential_assets_value
197,Invalid residential_assets_value
560,Invalid residential_assets_value
703,Invalid residential_assets_value
738,Invalid residential_assets_value
785,Invalid residential_assets_value
905,Invalid residential_assets_value
1090,Invalid residential_assets_value
1164,Invalid residential_assets_value
1351,Invalid residential_assets_value
1393,Invalid residential_assets_value
1774,Invalid residential_assets_value
1807,Invalid residential_assets_value
1867,Invalid residential_assets_value
1934,Invalid residential_assets_value
1951,Invalid residential_assets_value
2708,Invalid residential_assets_value
3020,Invalid residential_assets_value
3165,Invalid residential_assets_value
3181,Invalid residential_assets_value
3432,Invalid residential_assets_value
3731,Invalid residential_assets_value
3748,Invalid residential_assets_value
3963,Invalid residential_assets_value
4077,Invalid residential_assets_value
4131,Invalid residential_assets_value
4207,Invalid residential_assets_value
4244,Invalid residential_assets_value
